3Cnergy,502,Real Estate
8Telecom,AZG,Technology Equipment
A-Smart,BQC,Industrial & Commercial Services
A-Sonic Aero,BTJ,Transportation
AA,5GZ,Industrial Goods
ABR,533,Food & Beverages
Abterra,L5I,Energy - Fossil Fuels
Abundance Intl,541,Industrial & Commercial Services
Accordia Golf Tr,ADQU,Cyclical Consumer Services
Accrelist Ltd,QZG,Technology Equipment
Ace Achieve Info,A75,Technology Equipment
Acesian Partners,5FW,Industrial & Commercial Services
Acma,AYV,Industrial Goods
Acromec,43F,Industrial & Commercial Services
Addvalue Tech,A31,Technology Equipment
Advanced,BLZ,Energy - Fossil Fuels
Advanced Systems,5TY,Technology Equipment
Advancer Global,43Q,Industrial & Commercial Services
Adventus,5EF,Industrial & Commercial Services
AEI,AWG,Mineral Resources
AEM,AWX,Industrial Goods
AF Global,L38,Cyclical Consumer Services
AGV,1A4,Mineral Resources
AIMS APAC Reit,O5RU,Real Estate
AIMS Property,BVP,Real Estate
AliPictures HKD,S91,Cyclical Consumer Services
Alita Resources,40F,Mineral Resources
Alliance HC,MIJ,Healthcare Services
Allied Tech,A13,Industrial Goods
Alpha Energy,5TS,Software & IT Services
Amara,A34,Cyclical Consumer Services
AMOS,RF7,Industrial Goods
Amplefield Ltd,AOF,Technology Equipment
AnAn Intl,Y35,Energy - Fossil Fuels
Anchor Resources,43E,Mineral Resources
Anchun Intl,BTX,Industrial Goods
AnnAik,A52,Mineral Resources
AnnAik R,GMJR,
AnnAik R1,ZK0R,
Annica,5AL,Energy - Fossil Fuels
Aoxin Q & M,1D4,Healthcare Services
AP Oil,5AU,Energy - Fossil Fuels
APAC Realty,CLN,Real Estate
ARA HTrust USD,XZL,Real Estate
Arion Ent,YYB,Cyclical Consumer Services
Artivision Tech,5NK,Software & IT Services
Ascendas Reit,A17U,Real Estate
Ascendas-hTrust,Q1P,Real Estate
Ascendas-iTrust,CY6U,Real Estate
Ascott Reit,A68U,Real Estate
Asia Enterprises,A55,Mineral Resources
Asia Fashion,BQI,Cyclical Consumer Products
Asia Vets,5RE,Technology Equipment
AsiaMedic,505,Healthcare Services
Asian Healthcare,1J3,Healthcare Services
Asian Micro,585,Industrial & Commercial Services
Asian Pay Tv Tr,S7OU,Cyclical Consumer Services
AsiaPhos,5WV,Chemicals
Asiatic,5CR,Industrial Goods
Asiatravel.com,5AM,Software & IT Services
ASL Marine,A04,Industrial Goods
Aspen,1F3,Real Estate
Aspial,A30,Real Estate
Astaka,42S,Real Estate
ASTI,575,Industrial Goods
Atlantic Nav,5UL,Mineral Resources
Attilan,5ET,Banking & Investment Services
AusGroup,5GJ,Energy - Fossil Fuels
Avarga,U09,Applied Resources
Avi-Tech,BKY,Technology Equipment
AVIC,O2I,Industrial & Commercial Services
AVJennings A$,A05,Real Estate
Axcelasia,42U,Industrial & Commercial Services
Ayondo,1I5,Banking & Investment Services
Azeus,BBW,Software & IT Services
B&M Hldg,CJN,Banking & Investment Services
Baker Technology,BTP,Energy - Fossil Fuels
Ban Leong,B26,Technology Equipment
Banyan Tree,B58,Cyclical Consumer Services
BBR,KJ5,Industrial & Commercial Services
Beng Kuang,BEZ,Industrial & Commercial Services
Berlian LajuTank,B66,Transportation
Best World,CGN,Personal & Household Products & Services
BH Global,BQN,Industrial Goods
BHG Retail Reit,BMGU,Real Estate
Biolidics,8YY,Healthcare Services
BlackGoldNatural,41H,Energy - Fossil Fuels
Blumont,A33,Industrial & Commercial Services
BMM,I9T,Chemicals
Boldtek,5VI,Real Estate
Bonvests,B28,Cyclical Consumer Services
Boustead,F9D,Industrial & Commercial Services
Boustead Proj,AVM,Industrial & Commercial Services
BRC Asia,BEC,Industrial Goods
BreadTalk,CTN,Cyclical Consumer Services
Broadway Ind,B69,Industrial Goods
Brook Crompton,AWC,Industrial Goods
Bukit Sembawang,B61,Real Estate
Bumitama Agri,P8Z,Food & Beverages
Bund Center,BTE,Real Estate
C&G Env Protect,D79,Cyclical Consumer Products
Cache Log Trust,K2LU,Real Estate
Cacola,D2U,Cyclical Consumer Products
Camsing Hc,BAC,Retailers
CapitaCom Trust,C61U,Real Estate
Capital World,1D5,Real Estate
CapitaLand,C31,Real Estate
CapitaMall Trust,C38U,Real Estate
CapitaR China Tr,AU8U,Real Estate
Captii,AWV,Telecommunications Services
Casa,C04,Cyclical Consumer Products
CDL HTrust,J85,Real Estate
CDW,BXE,Technology Equipment
CEI,AVV,Technology Equipment
Centurion,OU8,Real Estate
CFM,5EB,Mineral Resources
CH Offshore,C13,Energy - Fossil Fuels
Challenger,573,Retailers
Charisma Energy,5QT,Industrial & Commercial Services
Chasen,5NV,Industrial & Commercial Services
ChasWood Res,5TW,Cyclical Consumer Services
Chemical Ind,C05,Chemicals
Cheung Woh,C50,Industrial Goods
China Aviation,G92,Energy - Fossil Fuels
China Env,5OU,Industrial & Commercial Services
China Env Res,RS1,Industrial & Commercial Services
China Essence,G54,Food & Beverages
China Everbright,U9E,Utilities
China Fishery,B0Z,Food & Beverages
China Gaoxian,AZZ,Cyclical Consumer Products
China Great Land,D50,Cyclical Consumer Products
China Haida,C92,Mineral Resources
China Hongxing,BR9,Cyclical Consumer Products
China Intl,BEH,Industrial & Commercial Services
China Jinjiang,BWM,Industrial & Commercial Services
China Jishan,J18,Cyclical Consumer Products
